Question,Answer,text
Kas yra Lietuvos dirbtinio intelekto asociacija?,"Lietuvos dirbtinio intelekto asociacija (LDIA) – ne pelno siekianti organizacija, burianti dirbtinio intelekto profesionalus, mokslininkus, verslo atstovus ir entuziastus Lietuvoje.","
<|start_of_role|>user<|end_of_role|>User: 
Kas yra Lietuvos dirbtinio intelekto asociacija?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Lietuvos dirbtinio intelekto asociacija (LDIA) – ne pelno siekianti organizacija, burianti dirbtinio intelekto profesionalus, mokslininkus, verslo atstovus ir entuziastus Lietuvoje.
<|end_of_text|>
"
Kada buvo įkurta asociacija?,Asociacija įkurta 2019 m. liepos 17 d.,"
<|start_of_role|>user<|end_of_role|>User: 
Kada buvo įkurta asociacija?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Asociacija įkurta 2019 m. liepos 17 d.
<|end_of_text|>
"
Kokia yra asociacijos misija?,"Telkti DI bendruomenę, skatinti atsakingą ir tvarią DI plėtrą, šviesti visuomenę ir padėti diegti DI sprendimus visuose sektoriuose.","
<|start_of_role|>user<|end_of_role|>User: 
Kokia yra asociacijos misija?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Telkti DI bendruomenę, skatinti atsakingą ir tvarią DI plėtrą, šviesti visuomenę ir padėti diegti DI sprendimus visuose sektoriuose.
<|end_of_text|>
"
Kokia yra asociacijos vizija?,Stipri ir konkurencinga Lietuvos dirbtinio intelekto ekosistema Europoje ir pasaulyje.,"
<|start_of_role|>user<|end_of_role|>User: 
Kokia yra asociacijos vizija?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Stipri ir konkurencinga Lietuvos dirbtinio intelekto ekosistema Europoje ir pasaulyje.
<|end_of_text|>
"
Kas gali tapti asociacijos nariu?,"Fiziniai asmenys, įmonės, mokslo ir studijų institucijos bei kitos organizacijos.","
<|start_of_role|>user<|end_of_role|>User: 
Kas gali tapti asociacijos nariu?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Fiziniai asmenys, įmonės, mokslo ir studijų institucijos bei kitos organizacijos.
<|end_of_text|>
"
Kiek narių turi asociacija?,"Apie 95 fizinius narius, taip pat juridinius narius ir akademinių institucijų padalinius.","
<|start_of_role|>user<|end_of_role|>User: 
Kiek narių turi asociacija?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Apie 95 fizinius narius, taip pat juridinius narius ir akademinių institucijų padalinius.
<|end_of_text|>
"
Kaip valdoma asociacija?,"Asociaciją valdo prezidentas ir valdyba, renkami visuotiniu narių balsavimu.","
<|start_of_role|>user<|end_of_role|>User: 
Kaip valdoma asociacija?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Asociaciją valdo prezidentas ir valdyba, renkami visuotiniu narių balsavimu.
<|end_of_text|>
"
Ar asociacija siekia pelno?,"Ne, asociacija yra ne pelno siekianti ir veikia savanoriškumo pagrindu.","
<|start_of_role|>user<|end_of_role|>User: 
Ar asociacija siekia pelno?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Ne, asociacija yra ne pelno siekianti ir veikia savanoriškumo pagrindu.
<|end_of_text|>
"
Kokias veiklas organizuoja LDIA?,"AI meetupus, hakatonus, konferencijas, mokymus, diskusijas ir švietimo iniciatyvas.","
<|start_of_role|>user<|end_of_role|>User: 
Kokias veiklas organizuoja LDIA?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
AI meetupus, hakatonus, konferencijas, mokymus, diskusijas ir švietimo iniciatyvas.
<|end_of_text|>
"
Kiek žmonių dalyvauja renginiuose?,2024 metais asociacijos renginiuose dalyvavo daugiau nei 2000 dalyvių.,"
<|start_of_role|>user<|end_of_role|>User: 
Kiek žmonių dalyvauja renginiuose?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
2024 metais asociacijos renginiuose dalyvavo daugiau nei 2000 dalyvių.
<|end_of_text|>
"
Ar asociacija bendradarbiauja su universitetais?,"Taip, aktyviai bendradarbiauja su Lietuvos ir užsienio mokslo institucijomis.","
<|start_of_role|>user<|end_of_role|>User: 
Ar asociacija bendradarbiauja su universitetais?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Taip, aktyviai bendradarbiauja su Lietuvos ir užsienio mokslo institucijomis.
<|end_of_text|>
"
Kokias tarptautines konferencijas asociacija organizavo?,Tarp svarbiausių – ECML PKDD 2024 ir pasirengimas ICANN 2025 konferencijai.,"
<|start_of_role|>user<|end_of_role|>User: 
Kokias tarptautines konferencijas asociacija organizavo?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Tarp svarbiausių – ECML PKDD 2024 ir pasirengimas ICANN 2025 konferencijai.
<|end_of_text|>
"
Ar LDIA dalyvauja DI politikos formavime?,"Taip, asociacija dalyvauja DI reguliavimo ir strategijų diskusijose Lietuvoje ir Europos Sąjungoje.","
<|start_of_role|>user<|end_of_role|>User: 
Ar LDIA dalyvauja DI politikos formavime?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Taip, asociacija dalyvauja DI reguliavimo ir strategijų diskusijose Lietuvoje ir Europos Sąjungoje.
<|end_of_text|>
"
Kaip asociacija padeda verslui?,"Skatina DI taikymą, jungia startuolius su ekspertais, investuotojais ir partneriais.","
<|start_of_role|>user<|end_of_role|>User: 
Kaip asociacija padeda verslui?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Skatina DI taikymą, jungia startuolius su ekspertais, investuotojais ir partneriais.
<|end_of_text|>
"
Ar asociacija dirba su viešuoju sektoriumi?,"Taip, bendradarbiauja su valstybės institucijomis ir GovTech iniciatyvomis.","
<|start_of_role|>user<|end_of_role|>User: 
Ar asociacija dirba su viešuoju sektoriumi?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Taip, bendradarbiauja su valstybės institucijomis ir GovTech iniciatyvomis.
<|end_of_text|>
"
Ar LDIA vykdo visuomenės švietimą?,"Taip, organizuoja viešas paskaitas, diskusijas ir DI viešinimo iniciatyvas.","
<|start_of_role|>user<|end_of_role|>User: 
Ar LDIA vykdo visuomenės švietimą?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Taip, organizuoja viešas paskaitas, diskusijas ir DI viešinimo iniciatyvas.
<|end_of_text|>
"
Ar asociacija veikia tarptautiniu mastu?,"Taip, LDIA yra Europos ir tarptautinių dirbtinio intelekto tinklų dalis.","
<|start_of_role|>user<|end_of_role|>User: 
Ar asociacija veikia tarptautiniu mastu?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Taip, LDIA yra Europos ir tarptautinių dirbtinio intelekto tinklų dalis.
<|end_of_text|>
"
Iš kur gaunamas asociacijos finansavimas?,"Iš narių įnašų, rėmėjų, partnerystių ir projektinės veiklos.","
<|start_of_role|>user<|end_of_role|>User: 
Iš kur gaunamas asociacijos finansavimas?
<|end_of_text|>
<|start_of_role|>assistant<|end_of_role|>#### Analysis
Iš narių įnašų, rėmėjų, partnerystių ir projektinės veiklos.
<|end_of_text|>
"
